indice_tiempo,delito_15_hechos
2000-01-01,320649.0
2001-01-01,345725.0
2002-01-01,423478.0
2003-01-01,393547.0
2004-01-01,352554.0
2005-01-01,322267.0
2006-01-01,318613.0
2007-01-01,331723.0
2008-01-01,361716.0
2009-01-01,367975.0
2010-01-01,372723.0
2011-01-01,392641.0
2012-01-01,419171.0
2013-01-01,426600.0
2014-01-01,448317.0
2015-01-01,419305.0
2016-01-01,420589.0
2017-01-01,393367.0
2018-01-01,415256.0
2019-01-01,472655.0
2020-01-01,336222.0
2021-01-01,370467.0
2022-01-01,396930.0
2023-01-01,455271.0
2024-01-01,460618.0
